valor,inicio,num_apostas,valorApostado,valorGanho,diferenca,result,minutos_decorridos,dia,mes,dia_da_semana
2.96,1754144919,5662,30534.22,-30679.04,-144.82,1,688,2,8,5
1.5,1754144942,5736,31497.88,-6207.99,25289.89,0,689,2,8,5
6.62,1754144961,5302,33079.25,-62510.19,-29430.94,1,689,2,8,5
1.2,1754145010,6040,30248.1,-415.8,29832.3,0,690,2,8,5
3.72,1754145026,5301,30554.44,-37335.93,-6781.49,1,690,2,8,5
1.21,1754145052,5553,34091.29,-1395.61,32695.68,0,690,2,8,5
1.48,1754145064,5908,38739.55,-3205.76,35533.79,0,691,2,8,5
1.0,1754145080,5397,38813.53,-0.0,38813.53,0,691,2,8,5
1.4,1754145090,4707,32681.45,-2683.15,29998.3,0,691,2,8,5
1.36,1754145104,4333,30198.73,-1887.82,28310.91,0,691,2,8,5
3.0,1754145118,3848,25680.25,-22468.22,3212.03,1,691,2,8,5
1.84,1754145144,4697,25998.45,-9575.13,16423.32,0,692,2,8,5
1.51,1754145162,4407,35236.76,-8537.07,26699.69,0,692,2,8,5
1.15,1754145178,3949,24313.48,-123.45,24190.03,0,692,2,8,5
